"","longitude","latitude","Elev_moy","superficie","dist_ville","dist_cote","Eaux maritimes","Forêts","Milieux à végétation arbustive et/ou herbacée","Mines, décharges et chantiers","Prairies","Terres arables","Zones agricoles hétérogènes","Zones humides intérieures","Zones humides maritimes","Zones industrielles ou commerciales et réseaux de communication","Zones urbanisées","Anomalie_temp_hiver_NW","Anomalie_temp_printemps_NW","Anomalie_temp_hiver_NE","Anomalie_temp_printemps_NE","Mean_NAO_winter","Moy_precip_printemps_NE_Annee_n.1","Moy_precip_printemps_NW_Annee_n.1","E"
"2812",3.02401745398671,42.6706524900088,-0.7,8.9,3.9,0.82,1,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,523
"2813",2.90245330545019,42.6332183545266,18.1,1.9,6.05,10.76,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,481
"2817",7.91718692847767,48.688008847566,122.2,0.2,9.87,395.97,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,532
"2818",7.8044567806113,48.5609835982813,136,0.75,4.76,401.69,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,532
"2819",7.72511306339057,48.3952526234031,148.1,0.99,15,412.88,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,574
"2820",7.6992504915328,48.3084328533333,159,3.26,18.98,438.91,0,1,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,574
"2821",8.10475920065726,48.8272188748403,116.2,3.22,19.16,393.55,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,635
"2822",8.04637681507973,48.7912434245882,117.8,4.54,13.95,393.59,0,1,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,635
"2823",7.86759903710677,48.6534239638469,129.7,4.64,9,396.58,0,1,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,532
"2824",7.63915051773243,48.2001223296547,168.1,1.27,15.24,427.99,0,0,0,0,0,0,0,0,0,0,0,1.4,0.4,-1.31,1.8,-0.065,4962,6931,574
