"","longitude","latitude","Elev_moy","superficie","dist_ville","dist_cote","Eaux maritimes","Forêts","Milieux à végétation arbustive et/ou herbacée","Mines, décharges et chantiers","Prairies","Terres arables","Zones agricoles hétérogènes","Zones humides intérieures","Zones humides maritimes","Zones industrielles ou commerciales et réseaux de communication","Zones urbanisées","Anomalie_temp_hiver_NW","Anomalie_temp_printemps_NW","Anomalie_temp_hiver_NE","Anomalie_temp_printemps_NE","Mean_NAO_winter","Moy_precip_printemps_NE_Annee_n.1","Moy_precip_printemps_NW_Annee_n.1","E"
"2",5.76418082715148,45.7679671805222,231.3,0.59,6.12,257.17,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,748
"5",5.83018677096647,45.9402284652863,252.9,0.27,11.91,272.34,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,748
"14",5.01668316036306,46.0019145888128,274.4,0.06,20.44,281.06,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"15",5.02518689249296,45.9888390459177,274.8,0.87,19.21,279.84,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"16",5.0308524414651,45.9916475110769,276.9,0.06,19.64,280.26,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"17",4.91748208441538,45.9457981675992,293.3,0.22,13.66,273.06,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"23",5.20543912162227,45.9922375224984,300.6,0.57,12.52,283.14,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"46",5.12944802937711,45.927283475333,285.7,0.12,17.92,275.43,0,0,0,0,0,1,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"53",4.96871226191287,45.965452315349,282.5,0.41,15.82,276.18,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"56",4.93681391372589,45.9958988574631,286.5,0.34,16.32,278.83,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"58",4.96072906218268,45.9976853291255,282.8,0.28,18.18,279.48,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"61",5.03248718134054,45.9374782790067,284.4,0.16,14.09,274.51,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"71",5.13926765214697,46.0260233458918,282.5,0.4,18.64,286.43,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"72",5.14730746885712,46.0298205106344,282.7,0.24,18.25,286.9,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"106",5.05238982443402,46.1699799477248,236.8,0.24,13.89,299.81,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"116",5.92116924669908,46.1319227748819,333.1,1.22,7.83,285.22,0,0,0,0,0,0,0,1,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,799
"133",5.07689807216372,46.1755105111248,235.1,0.25,11.9,300.9,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"146",5.09717264210402,46.086972896896,270.4,0.27,16.43,291.86,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"184",5.05489220993425,45.9313583842148,279.6,0.26,14.37,274.35,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"208",5.20610830480687,46.1314870331616,249.9,0.17,8.31,298.55,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"227",5.79527596015999,45.8302677641794,233.1,0.1,11.48,262.34,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,748
"228",5.70067062460297,45.6775701504295,215,0.08,9.31,250.54,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,748
"230",5.64774930324048,45.6374460394095,212.7,0.27,11.36,248.67,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,748
"244",5.17960505386057,46.2253724612458,221.8,0.08,4.17,308.42,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"280",5.14473800058609,46.0218090962928,284.7,0.18,18.07,286,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"286",5.01048032756919,46.016681297433,278.3,0.14,21.93,282.52,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,652
"371",6.0191291592807,44.0928957077315,429.7,1.11,12.96,94.88,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,1041
"372",5.95270031118066,44.186720351435,462.7,0.11,1.26,105.09,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,856
"374",6.02526472980971,44.4284269422484,574.4,0.6,15.43,123.65,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,1041
"390",6.38627527814309,44.5335832231619,761.2,27.25,24.37,113.77,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,1243
"392",6.24181125457368,44.4652428114464,658.3,1.12,16.58,114.88,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,1041
"403",4.80595923215613,45.1199618869753,122.6,0.67,6.2,182.49,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,715
"404",4.86080238774543,45.0570069641728,114.7,2.29,2.49,177.36,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,715
"405",4.87699480897215,44.9267720441038,106.5,0.78,0.81,163.41,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,774
"406",4.76030141358504,44.7462035000401,85.6,0.61,12.86,142.32,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,774
"407",4.72446106818209,44.5917622267242,70.4,0.12,4.28,125.41,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,774
"409",4.73390212351396,44.3421584192971,55,2.66,4.91,98.74,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,729
"457",4.31477361395721,48.2816176207397,130.5,20.77,16.13,286.24,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,457
"464",4.38654042935032,48.3132908161564,130.6,17.41,21.9,287.18,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,457
"465",4.50900908013015,48.3392129827933,131.5,4.62,18.77,291.32,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,501
"486",3.04485689753,43.1000103970234,-0.7,1.1,9.87,0.46,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,700
"488",2.96724213007613,43.0771352791831,0,37.1,12.22,4.74,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,701
"490",3.08057215935682,43.1123471520664,0.3,1.61,10.08,2.34,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,700
"510",5.22848970215126,43.450939729183,0,0.27,1.85,11.4,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,533
"512",5.0203885416927,43.5550191218004,0,131.79,3.4,14.82,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,671
"514",5.19359009926775,43.4253774454835,-0.8,6.01,1.98,10.19,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,533
"520",5.32931059936147,43.4647820341927,157.3,0.59,6.32,11.49,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,533
"523",4.98812080229529,43.4701005208288,-7.6,0.85,4.87,5.05,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,586
"527",4.79089072091468,43.5912459547094,9.6,1.08,5.5,15.96,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,648
"541",-0.04435624062336,49.1138494321188,6.3,0.06,19.64,18.84,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,375
"543",0.198285202118444,49.2745725207796,10.3,0.56,1.63,11.4,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,379
"547",-0.146815306140129,49.1840078834778,2.1,0.33,11.91,10.64,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,375
"768",-1.05686219575321,46.044337381444,0.5,0.08,14.06,0.4,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,624
"770",-1.21718276740685,45.9152860565872,0,0.54,19.96,0.5,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"775",-1.20849747101515,45.6862338558149,0.3,6.71,15.6,1.07,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,653
"776",-0.853086453143136,45.5088585844027,1.2,17.81,18.8,0.08,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,670
"781",-0.976598512977526,45.9191063194024,0.3,0.09,2.27,5.66,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,670
"785",-0.996234784643681,46.0156452371906,0,0.3,9.18,4.55,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,571
"818",2.38050502986257,47.590196311307,161.5,1.24,21.98,252.13,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,361
"904",5.48882077246058,47.3700441362011,190.6,0.06,11.45,411.33,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,576
"913",5.36946029514665,47.5196199777791,220.8,0.28,18.68,401.93,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,627
"922",-2.68793130449703,48.5073399995866,0.4,10.5,5.4,0.47,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,675
"926",-3.0923835796927,48.8685834379092,1.1,0.2,30.9,0.08,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,611
"934",-3.24124819221882,48.758506833427,2.3,1.32,16.26,5.69,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,611
"938",-3.20916142341418,48.8400398203937,0.4,1.33,21.92,0.14,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,611
"1007",0.804457403701659,44.8580427046593,43,0.25,25.06,104.87,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,612
"1035",6.29074568102962,47.3279425422262,261.3,0.21,22.5,374.32,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,837
"1041",6.30173882766268,46.8017386849665,848.6,4.26,12.07,324.33,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,936
"1042",6.26368839719783,46.7717133085095,846.4,0.97,16.26,323.13,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,936
"1045",6.58299991333686,47.4536647734237,289.2,0.04,17.37,375.83,0,0,0,0,0,0,0,0,0,0,1,0.97,0.17,1.2,2.53,0.4475,4858,6209,855
"1068",6.02572408674638,47.2302111115876,238.9,0.07,0.87,375.71,0,0,0,0,0,0,0,0,0,0,1,0.97,0.17,1.2,2.53,0.4475,4858,6209,837
"1077",6.51090755770184,47.4029246667782,279.4,0.14,24.7,373.38,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,855
"1078",6.75802602486932,47.3384509307903,363.1,0.15,14.83,358.45,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,855
"1087",6.70817596125127,47.4685280594978,305.3,0.59,8.19,373.1,0,0,0,0,0,0,0,1,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,855
"1098",4.99241858584749,45.0325388360092,134,0.05,4.71,175.48,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,715
"1100",5.05631497387522,45.0411237622667,140.7,0.24,0.6,176.81,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,755
"1101",5.10081768542469,45.0389427747057,149.9,0.1,3.86,176.92,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,755
"1102",5.16158591722104,45.0651785235709,152.9,0.07,8.83,180.4,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,755
"1103",5.24001527940318,45.0670951838547,167,0.37,14.93,181.55,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,755
"1106",1.29088784548156,49.2116070027747,6.4,1.19,8.77,65.69,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,393
"1107",0.53004030990758,49.4246945847014,0.5,0.54,7.69,6.77,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,391
"1113",1.36062470838041,49.243661244481,7.6,0.6,11.2,68.78,0,0,0,1,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,393
"1124",1.23907917094575,49.2884168143366,7.4,0.73,2.66,58.71,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,393
"1319",4.37046705369105,43.5834269558588,-0.3,1.13,11.52,12.96,0,0,0,0,0,0,0,1,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,732
"1420",-1.02482123658884,44.6477718609174,1.2,0.11,3.92,0.25,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,732
"1421",-0.682500789370294,45.2613078421859,1.1,0.09,28.35,1.09,0,0,0,0,0,1,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,780
"1432",-1.02979270994146,44.6455133978872,0.4,0.2,3.46,0.21,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,732
"1438",-1.04824435654365,44.6695948714343,0,4.91,4.15,1.5,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,732
"1456",3.97698912999966,43.5787122854059,-1.5,0.05,4.87,3.61,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,701
"1457",3.97053447198352,43.5717980926792,-0.8,0.34,5.61,2.87,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,701
"1458",3.82400473392106,43.4922299164859,-1,10.11,5.49,2.01,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,694
"1460",3.52063004354144,43.3270883505812,-1,1.97,3.84,2.96,1,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,694
"1482",-1.81302775824255,47.7336405816959,20.6,0.17,22.33,48.92,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,464
"1504",-1.61289477354372,48.6362618911823,0.1,0.07,19.59,0.54,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,499
"1520",-1.18785397064629,48.2360256542743,105.4,0.92,12.56,45.97,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,463
"1521",-1.29795849285375,48.1998905769904,94.8,0.22,10.44,48.45,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,463
"1549",1.25110116546659,46.7563580339266,99.8,0.72,19.68,186.95,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,437
"1550",1.17547046803091,46.6017544977278,122,0.35,9.32,177.75,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,437
"1551",1.65672197552982,46.6854009432246,133.5,0.08,13.59,215.63,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,457
"1553",1.03839401071228,46.7815651808575,92.7,0.09,16.59,172.04,0,1,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,437
"1595",4.7613694188267,45.3361784425227,137,1.46,12.98,204.45,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,715
"1635",5.66236603997923,45.2308967708111,199.8,0.51,1.54,207.32,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,830
"1639",4.79452573730284,45.3106291955522,136.9,0.21,12.69,202.43,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,715
"1656",5.80409955066541,46.6690533524697,486.5,2.2,11.66,335.05,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,785
"1669",5.44236278873778,47.0106525294944,193.5,0.01,9.83,381.88,0,1,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,576
"1670",5.39450120681513,47.0015741379745,188.5,0.08,12.52,383.45,0,0,0,1,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,576
"1687",-0.445291395672057,43.8440797088181,77.2,0.24,6.88,74.75,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,697
"1688",-0.527489955167674,43.8042781965762,56.6,0.43,9.88,69.14,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,811
"1689",-0.099789857280423,43.9753000331719,119.2,0.15,33.54,98.34,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,697
"1691",-0.260213083205831,43.7678442126704,93.5,0.68,23.72,91.03,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,697
"1700",-0.230559101695488,43.8530497395867,85.3,0.06,22.14,91.44,0,0,0,0,0,1,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,697
"1707",-0.307427010990885,43.7037817596992,135.2,0.52,26,88.73,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,697
"1721",-0.254043254647252,43.8158040842408,96.1,0.06,21.55,90.45,0,0,0,0,0,1,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,697
"1727",-0.299412307426067,43.5838547686456,190.2,0.44,31.13,92.58,0,0,0,0,0,1,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,697
"1740",1.80871354711144,47.4869200935466,100.3,0.4,15.03,240.4,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,366
"1744",1.86256583564944,47.4717716355221,97.2,0.2,15.41,243.68,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,366
"1748",1.63610260458608,47.3874791186975,93.3,0.47,8.7,240.3,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,366
"1749",1.86435074919233,47.5098275237695,98,0.42,19.07,239.94,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,340
"1751",1.50561300505459,47.3399790004302,98,0.6,18.1,229.12,0,0,0,0,0,0,0,1,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,366
"1753",4.06919981228047,45.7745392625287,344.9,0.43,18.6,245.95,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,659
"1754",4.04173885260529,45.7548650523782,363.1,0.08,16.48,243.79,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,659
"1757",4.09647526597566,45.657957557406,361.6,0.07,6.22,233,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,659
"1771",4.09247386844947,45.697516176187,351.4,0.24,10.29,237.39,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,659
"1772",4.24011916526599,45.7175521903592,350,0.18,18.47,239.93,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,659
"1773",4.20177109445099,45.6872210127497,331.2,0.18,14.01,236.43,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,659
"1784",4.05894018232661,45.7668140118379,350.5,0.04,17.73,245.1,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,659
"1895",-2.11010378345754,47.2921756758952,0.1,12.33,8.13,1.22,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,550
"1899",-2.5001733451847,47.3017149380348,0.1,6.84,6.08,0.02,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,550
"1908",-1.87801170238518,47.2440964305645,1.4,5.73,8.05,7.6,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,519
"1947",1.99034868783431,47.730203441277,108.9,0.27,16.41,223.06,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,340
"2079",-0.585928828552761,47.4584589295823,16.4,1.1,3.11,105.15,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,449
"2092",-0.246358362744281,47.3537334114957,19.4,2.42,16.45,129.47,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,422
"2093",-0.310604110638274,47.6848484217199,41.1,0.11,17.36,131.49,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,363
"2097",-0.544816771808913,47.5080936615251,14.8,5.92,3.83,109.24,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,421
"2134",-1.1650751853373,49.394600578573,1.8,0.25,11.75,0.15,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,487
"2179",-1.11883256026583,49.3505280314594,0,0.13,10.65,0.12,0,0,0,0,0,0,0,0,1,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,487
"2191",4.68767783204508,48.5753532777174,123.3,0.77,18.4,283.04,0,0,0,0,0,0,0,1,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,538
"2192",4.68675595722666,48.5554960336525,119.2,0.49,20.41,284.42,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,538
"2193",4.68673424997257,48.5649396296417,121.8,0.45,19.43,283.74,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,538
"2206",4.74366906707005,48.5810277351433,133.4,40.64,16.26,285.8,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,538
"2251",-1.00513247856132,48.2332529904084,133.6,0.4,8.77,51.61,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,463
"2252",-1.07938121765735,48.2944591063831,125.9,0.11,10.64,42.97,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,463
"2253",-1.07539025232734,48.1724641319546,88,1.36,11.64,55.39,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,463
"2254",-1.00202099716041,48.1379884215733,138.5,0.09,15.88,61.09,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,463
"2255",-0.94875389780843,48.1520646450769,123.4,0.2,15.89,61.53,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2256",-0.529109199742895,48.2918487371614,125,0.58,6.74,72.1,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2257",-0.730607061494617,48.1880591325899,68.1,0,13.44,67.9,0,0,0,0,1,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2259",-0.520848999936669,48.225649971032,113.3,0.38,11.35,76.76,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2260",-0.430328681855369,48.2037841889261,107.7,0.45,17.87,83.64,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,375
"2263",-0.918926314516864,48.004252245039,87.5,0.24,13.13,77.19,0,0,0,0,0,1,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2264",-1.01200945231705,48.0433890081068,120.7,0.07,17.56,70.47,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,463
"2267",-0.97811480999768,48.1117741627313,111,0.39,15.92,64.49,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2268",-0.929160951706303,48.0633687356913,141.6,0.13,11.64,70.93,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2269",-0.91130468450611,48.1214912241932,122.1,0.21,11.72,65.86,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2270",-0.619225697514784,48.1421447340647,110,0.14,13.96,77.32,0,0,0,0,0,0,1,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,415
"2274",-1.06524765449386,47.8670495410382,54.3,0.44,25.26,87.97,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,451
"2301",6.0526061429868,48.9440535746,171.4,0.41,4.61,297.17,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,521
"2304",5.80213811807462,48.828134082519,235.3,0.23,17.08,301.85,0,0,0,0,0,0,0,0,0,0,0,0.97,0.17,1.2,2.53,0.4475,4858,6209,555
