"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA,0,0,0,0,0,50,18,16,0,0,0,0
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,64,0,0,0,0,0
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0,3,19,NA,33,43,43,26,34,45,18,18
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,6,0,0,5,0,0,0,0
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31,0,42,NA,NA,31,0,0,0,0,5,0,2
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,NA,1,0,10,343,2,0,40,8
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,3650,NA,NA,NA,NA,0,0,7,4,0,0,0,0,NA
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,0,6,0,NA,NA,300,0,0,0,0,0,50,0,0,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,39,0,8,NA,NA,NA,34,37,167,10,61,36,4,4,0,NA,9
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,17,0,NA,0,NA,NA,149,190,18,0,7,26,65,0,0,12,NA
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,108,0,NA,NA,NA,NA,50,NA,0,NA,482,NA,240,60,109,0,NA
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,220,0,NA,340,NA,560,2760,120,281,141,67,266,590,10,142,97,300
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,30,0,NA
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,278,0,NA,NA,112,0,2,0
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,NA
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA
"202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,170,45,0,150
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,55,0
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,913,577,107
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,13,60,144
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,150
"208",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,400
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,0,0,0,12
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,30,16,0
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,NA
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,12,NA,23,NA,NA,NA,NA,NA,30,0
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,0
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,94,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,110,NA,90,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,108,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,3,57,0
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,260,NA,15,NA,0,NA,NA,NA,NA,150,100,109
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,16,14,NA,100,0,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,0
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,8
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5,500
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,28,NA,NA,NA,15,10
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,40,120,2
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,12,NA,NA,NA,NA,NA,NA,NA,NA
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,12,0,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,1627,59
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,80,0
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0
"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,4
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,73,16
"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0
"241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0
"243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,203,154
"244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,13
"245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,0,0
"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,20
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,0
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,23
"251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,800,606
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,140
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
"254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,99,16
"255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,92
"256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,962,273,0,299
"257",15427,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3035,NA,1238,NA,NA,368,NA,NA,NA,NA
"258",12097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4650,153,NA,NA,0,NA,NA,1015,NA
"259",750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,45,NA,NA,NA,NA,523,NA,NA
"260",4571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,NA,NA,4225,NA,NA,NA,104
"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,0,0,NA,10
"262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5929,264,0,7,305
"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA,0
"264",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,15
"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,237,NA,634,NA,NA,NA,1285,210,306,624
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,41,NA,NA,NA,53,236
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,40,42,52,16,21,30,NA,NA,NA,NA,NA,0
"268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,177,0,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,107,0,NA,4,0,NA,0,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,0,NA,0,1,NA,0,0,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,71,115,0,0,4,0,NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,4,0,242,20,0,124,161,NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,531,352,640,171,0,192,0,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,4,0,0,0,0,NA,NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32,0,0,0,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,80,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,12,54,55,75,17,30,NA,NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,7,0,0,0,NA,0,0
"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,0,0,0,0,0,0,7,NA,NA,0
"283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,30,30,73,2,33,26,NA,0,NA,NA,NA
"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,35,83,NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,70,0,76,253,137,0
"287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA
"288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,178,NA,77,NA,NA,NA,NA,NA,NA
"289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,40,0,NA,0,NA,NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,180,320,442,320,450,0,0,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,72,0,0,0,NA,0,NA,NA,0
"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,409,0,25,NA,NA,NA,NA,NA,NA
"294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,20,NA,NA,NA,NA,NA,NA
"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,6,0,5,5,5,4,7,NA
"296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,NA,0,161,209,NA,NA,11,NA,0
"298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA
"299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,178,350,750
"300",2,0,NA,24,NA,NA,NA,NA,190,20,NA,7,NA,NA,NA,0,18,NA,0,20,NA,NA,NA,0,NA,NA,NA,NA
"301",NA,616,335,402,750,NA,NA,510,66,302,NA,184,30,55,850,67,67,173,1200,302,NA,632,NA,80,360,NA,NA,NA
"302",0,1,0,0,0,70,NA,34,0,0,NA,29,0,0,0,15,0,NA,400,0,NA,400,NA,0,87,NA,NA,NA
"303",50,96,52,83,26,1,NA,NA,84,125,NA,0,NA,14,44,NA,66,NA,0,125,NA,NA,NA,93,655,NA,NA,NA
"304",NA,NA,NA,4,NA,1,NA,0,NA,0,NA,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9
"305",200,NA,5,46,380,4300,NA,0,2169,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",NA,NA,20,139,NA,31,NA,NA,62,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,4,0,NA,NA,NA,24,NA,0,0,0
"308",NA,88,0,2908,7640,5370,NA,0,21,6000,NA,650,40,420,1000,6500,5500,13500,9200,1550,0,4500,65,0,NA,0,35,0
"309",NA,0,NA,4,NA,11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",0,0,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"311",127,630,311,518,NA,531,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,32,NA,NA,0,NA,150,17,NA,NA,67
"312",NA,6,NA,51,8,42,NA,NA,0,268,NA,172,124,5,139,25,45,0,699,450,0,576,520,900,621,67,NA,NA
"313",0,NA,765,2179,3230,780,NA,3440,2278,6110,NA,2600,6000,3900,3300,350,NA,0,600,0,0,NA,NA,145,0,NA,2,NA
"314",NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,31,2,NA,NA
"315",2,286,1640,2342,NA,810,NA,NA,0,704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"316",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,2,NA,0,NA,NA,NA,NA,0,NA,10,NA
"317",NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,NA,NA,NA,15,NA,NA,NA
"318",0,220,0,130,98,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA
"319",16,0,0,29,77,214,NA,70,NA,402,NA,0,10,110,6,24,310,150,NA,NA,NA,NA,NA,NA,2,111,6,NA
"320",NA,0,NA,0,35,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,NA,0,0,NA,2,0,0,NA,NA,NA,NA,NA,NA
"322",NA,740,45,129,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,512,NA,NA,NA
"323",0,NA,0,472,NA,57,NA,430,0,486,NA,0,1,500,0,NA,20,409,NA,0,0,0,NA,NA,0,1180,NA,0
"324",0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",NA,120,33,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"326",NA,4,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",NA,85,22,390,NA,656,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,120,112,NA
"328",NA,26,0,12,12,151,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",NA,NA,NA,NA,NA,24,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,60
"330",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0,NA,0,0,2,0,0,0,NA,0,0,1,72,NA,15,12
"331",NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,73,NA
"332",NA,NA,NA,NA,NA,NA,NA,NA,0,150,NA,12,0,0,1,0,32,0,6,0,0,2,0,0,0,0,0,0
"333",NA,0,0,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"334",NA,NA,NA,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",78,0,0,NA,43,0,NA,NA,0,NA,NA,0,NA,NA,14,110,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA
"336",99,130,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"337",5,0,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",0,1200,862,1936,1479,NA,NA,1560,NA,240,NA,450,0,130,110,0,550,106,540,1200,1800,110,0,0,0,610,NA,220
"339",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,6,0,0,0,0,0,0,0,0,9,0,0,0,50,0,0
"340",14,114,136,274,54,47,NA,13,NA,152,NA,0,NA,0,0,13,37,40,600,152,NA,378,NA,48,240,NA,NA,0
"341",3,1,2,84,NA,72,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,28,NA,NA,0,NA,0,0,NA,NA,NA
"342",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,6,NA,NA,NA,230,NA,NA,284,NA,24,210,NA,NA,2
"343",88,108,156,16,38,190,NA,386,3,46,NA,32,NA,20,528,66,111,204,210,46,NA,0,NA,304,420,NA,NA,8
"344",NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,45,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"345",NA,0,NA,NA,0,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,0,NA
"346",NA,NA,NA,NA,NA,NA,NA,NA,0,2440,NA,65,0,120,12,1450,850,26,850,38,8,0,160,650,1100,950,450,131
"347",NA,110,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"348",0,0,NA,NA,0,10,NA,0,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
"349",187,346,6,80,0,200,NA,0,0,371,NA,200,90,10,31,7,1,1,9,6,30,46,4,0,0,0,0,10
"350",70,10,0,0,11,0,NA,0,NA,2,NA,165,0,130,580,NA,154,78,700,350,94,400,NA,490,73,91,123,77
"351",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,12,NA,0,0,NA,0,0,NA,NA,0,0,18
"352",0,0,0,535,200,90,NA,6,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"353",357,0,0,163,3105,320,NA,0,250,190,NA,220,2000,95,400,30,900,88,350,0,120,80,60,220,0,0,120,390
"354",NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,10,NA,NA,NA,NA,NA,445,850,2400,NA,600
"355",0,0,0,0,0,1,NA,0,10,0,NA,0,0,0,0,7,8,31,0,0,0,0,0,0,0,0,0,0
"356",180,0,0,0,0,10,NA,0,0,0,NA,0,0,0,0,0,0,0,NA,0,16,0,NA,0,0,NA,0,NA
"357",10,12,0,16,0,42,NA,0,0,24,NA,12,NA,NA,NA,24,36,NA,0,24,NA,75,NA,0,27,NA,NA,NA
"358",0,64,0,28,0,0,NA,0,0,6,NA,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"359",NA,NA,NA,NA,20,0,NA,0,0,0,NA,4,2,0,0,0,85,130,4340,1850,43,9,326,5240,131,1600,410,359
"360",1100,850,636,1885,3346,1699,NA,5142,910,1870,NA,3300,1260,233,656,6750,2367,300,890,NA,90,320,NA,56,85,0,1804,878
"361",1377,2082,1051,960,1657,1060,NA,355,100,707,NA,40,434,550,17,806,1538,50,530,7800,50,136,33,152,80,26,29,22
