"","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012"
"1042",0,117,0,0,118,0,0,125,0,154,0,8,32,0,0,0,0,0,0,0,91
"1045",138,117,127,172,0,129,0,163,131,111,81,0,0,76,0,0,0,0,0,0,0
"1068",0,0,0,0,0,264,0,0,164,63,112,0,0,0,0,0,191,0,199,241,184
"1077",72,0,0,0,86,14,62,0,0,0,0,36,0,0,0,0,0,0,154,110,0
"1078",78,116,83,105,0,0,0,96,0,0,0,154,0,0,0,96,0,0,0,0,0
"1087",0,197,0,347,0,199,0,0,162,0,62,161,0,108,0,0,0,367,331,229,0
"1098",118,49,0,0,0,0,20,34,0,48,0,0,129,0,0,45,0,0,0,0,0
"1100",99,104,0,0,0,0,154,74,0,102,0,0,65,0,0,58,0,0,0,0,0
"1101",13,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"1102",47,13,0,0,0,0,3,31,0,28,0,0,22,0,0,28,0,0,0,0,0
"1103",184,225,0,0,0,0,180,85,0,201,0,0,295,0,0,136,0,0,0,0,0
"1106",50,45,120,45,128,38,0,65,21,41,110,33,95,0,0,0,0,50,0,0,0
"1107",0,390,190,302,383,526,314,357,509,551,439,412,627,157,0,263,294,534,276,0,0
"1113",40,50,35,0,0,109,0,28,125,88,95,34,330,0,0,0,0,0,0,0,0
"1124",0,0,179,0,0,175,0,71,199,213,0,148,143,172,0,0,0,0,0,0,170
"1319",250,0,0,0,250,800,0,1000,0,0,0,0,2000,0,0,0,0,0,0,0,0
"1420",0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"1421",0,134,0,0,127,121,110,152,0,0,0,23,0,0,0,0,171,0,21,0,0
"1432",0,169,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
"1438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1456",7,55,1,0,14,0,33,7,12,26,29,14,12,21,21,5,19,0,0,16,41
"1457",31,32,20,0,14,18,97,71,83,96,79,38,0,8,18,10,16,0,0,8,6
"1458",130,317,163,0,101,23,101,93,24,22,0,357,0,0,76,375,187,0,52,0,0
"1460",452,329,623,0,695,470,599,776,670,83,980,701,1116,0,0,1091,814,0,0,0,0
"1482",162,204,0,0,164,0,0,89,0,331,0,0,0,0,0,49,86,0,123,0,0
"1504",1090,1470,0,0,0,4930,0,0,0,0,0,0,1970,0,0,0,1770,0,0,0,0
"1520",1254,907,1680,0,1425,0,0,0,0,1200,0,1109,0,0,0,0,0,643,0,0,0
"1521",418,333,227,6,207,0,0,255,0,0,0,482,0,0,0,0,0,333,0,0,0
"1549",0,7454,7175,0,0,0,0,8506,6684,0,0,0,0,9344,0,0,0,0,13227,10303,0
"1550",0,221,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,605,0,0
"1551",0,1247,1576,0,0,0,0,1410,1661,0,0,0,0,0,0,0,0,0,2474,1267,0
"1553",0,0,434,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,877,0,0
"1595",261,156,0,0,295,281,0,0,0,829,0,0,0,0,0,235,0,0,501,215,0
"1635",0,58,0,0,0,0,0,35,0,45,0,0,0,0,0,122,127,0,180,0,0
"1639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0
"1656",0,0,0,0,86,0,7,69,98,52,53,36,0,0,0,0,154,0,185,0,0
"1669",0,280,0,0,0,0,225,16,35,35,62,0,0,0,0,62,74,0,195,0,0
"1670",0,0,0,0,5,0,36,15,12,25,34,2,103,0,0,0,5,0,0,0,0
"1687",0,0,20,0,60,10,98,0,0,0,29,34,82,17,32,0,152,47,23,0,0
"1688",0,9,0,0,0,0,168,0,0,112,0,0,301,143,0,0,0,58,53,0,0
"1689",0,94,0,0,0,0,83,0,162,0,0,191,238,0,0,0,0,136,127,0,0
"1691",0,235,0,0,0,357,208,0,275,0,0,0,322,161,0,0,0,19,82,71,0
"1700",47,59,0,0,0,168,290,0,142,243,0,0,84,20,0,0,0,3,85,0,0
"1707",0,8,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,235,131,0,140
"1721",0,0,5,0,20,0,0,0,35,0,88,0,60,78,35,12,45,58,0,35,0
"1727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,139,0,172
"1740",114,94,0,0,0,725,0,300,0,0,0,450,0,750,0,221,215,1500,300,892,137
"1744",47,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"1748",0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"1749",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1751",0,30,0,0,118,0,335,0,0,37,0,0,24,0,0,0,216,0,0,0,0
"1753",0,0,0,22,3,0,0,37,0,9,0,0,3,0,0,0,0,60,7,0,0
"1754",0,0,0,22,7,0,11,16,0,3,58,27,17,0,0,0,7,8,55,0,0
"1757",0,200,0,0,180,0,0,0,0,0,0,180,85,0,0,0,0,147,20,0,0
